File hm/lorem1s (another copy).txt
R: 34 - C: 270
R: 34 - C: 273
R: 34 - C: 287
R: 34 - C: 293
R: 34 - C: 296
R: 34 - C: 300
R: 34 - C: 331
R: 34 - C: 338
R: 34 - C: 357
R: 34 - C: 380
R: 34 - C: 403
R: 34 - C: 415
R: 34 - C: 446
R: 34 - C: 456
R: 34 - C: 467
R: 34 - C: 470
R: 36 - C: 19
R: 36 - C: 22
R: 36 - C: 43
R: 36 - C: 58
R: 36 - C: 62
R: 36 - C: 79
R: 36 - C: 92
R: 36 - C: 126
R: 36 - C: 130
R: 36 - C: 135
R: 36 - C: 138
R: 36 - C: 173
R: 36 - C: 179
R: 36 - C: 233
R: 36 - C: 259
R: 36 - C: 267
R: 36 - C: 283
R: 36 - C: 288
R: 36 - C: 290
R: 36 - C: 310
R: 36 - C: 315
R: 36 - C: 329
R: 36 - C: 338
R: 36 - C: 341
R: 36 - C: 382
R: 36 - C: 402
R: 36 - C: 453
R: 36 - C: 465
R: 36 - C: 481
R: 38 - C: 2
R: 38 - C: 16
R: 38 - C: 24
R: 38 - C: 43
R: 38 - C: 63
R: 38 - C: 70
R: 38 - C: 82
R: 38 - C: 97
R: 38 - C: 120
R: 38 - C: 129
R: 38 - C: 139
R: 38 - C: 143
R: 38 - C: 156
R: 38 - C: 181
R: 38 - C: 204
R: 38 - C: 217
R: 38 - C: 245
R: 38 - C: 268
R: 38 - C: 271
R: 38 - C: 295
R: 38 - C: 301
R: 38 - C: 326
R: 40 - C: 16
R: 40 - C: 20
R: 40 - C: 29
R: 40 - C: 34
R: 40 - C: 39
R: 40 - C: 51
R: 40 - C: 56
R: 40 - C: 59
R: 40 - C: 87
R: 40 - C: 91
R: 40 - C: 104
R: 40 - C: 107
R: 40 - C: 118
R: 40 - C: 128
R: 40 - C: 136
R: 40 - C: 149
R: 40 - C: 158
R: 40 - C: 176
R: 40 - C: 185
R: 40 - C: 192
R: 40 - C: 197
R: 40 - C: 208
R: 40 - C: 220
R: 40 - C: 223
R: 40 - C: 266
R: 40 - C: 334
R: 40 - C: 352
R: 40 - C: 368
R: 40 - C: 384
R: 40 - C: 394
R: 40 - C: 397
R: 40 - C: 404
R: 40 - C: 413
R: 40 - C: 416
R: 40 - C: 424
R: 40 - C: 480
R: 40 - C: 502
R: 40 - C: 523
R: 40 - C: 537
R: 40 - C: 552
R: 40 - C: 589
R: 40 - C: 603
R: 42 - C: 10
R: 42 - C: 21
R: 42 - C: 25
R: 42 - C: 46
R: 42 - C: 54
R: 42 - C: 59
R: 42 - C: 61
R: 42 - C: 70
R: 42 - C: 77
R: 42 - C: 109
R: 42 - C: 134
R: 42 - C: 140
R: 42 - C: 178
R: 42 - C: 198
R: 42 - C: 244
R: 42 - C: 255
R: 42 - C: 259
R: 42 - C: 263
R: 42 - C: 268
R: 42 - C: 274
R: 42 - C: 281
R: 42 - C: 284
R: 42 - C: 295
R: 42 - C: 311
R: 42 - C: 324
R: 42 - C: 332
R: 42 - C: 343
R: 42 - C: 359
R: 42 - C: 391
R: 42 - C: 394
R: 42 - C: 408
R: 42 - C: 420
R: 42 - C: 437
R: 44 - C: 5
R: 44 - C: 12
R: 44 - C: 22
R: 44 - C: 27
R: 44 - C: 31
R: 44 - C: 39
R: 44 - C: 44
R: 44 - C: 49
R: 44 - C: 65
R: 44 - C: 100
R: 44 - C: 107
R: 44 - C: 112
R: 44 - C: 138
R: 44 - C: 150
R: 44 - C: 155
R: 44 - C: 171
R: 44 - C: 174
R: 44 - C: 182
R: 44 - C: 205
R: 44 - C: 208
R: 44 - C: 227
R: 44 - C: 241
R: 44 - C: 266
R: 44 - C: 297
R: 44 - C: 303
R: 44 - C: 326
R: 44 - C: 336
R: 44 - C: 340
R: 44 - C: 346
R: 44 - C: 379
R: 44 - C: 391
R: 44 - C: 394
R: 44 - C: 420
R: 44 - C: 431
R: 44 - C: 434
R: 44 - C: 441
R: 44 - C: 470
R: 44 - C: 489
R: 44 - C: 497
R: 44 - C: 536
R: 44 - C: 538
R: 44 - C: 548
R: 44 - C: 556
R: 44 - C: 559
R: 46 - C: 3
R: 46 - C: 12
R: 46 - C: 25
R: 46 - C: 52
R: 46 - C: 55
R: 46 - C: 80
R: 46 - C: 84
R: 46 - C: 99
R: 46 - C: 118
R: 46 - C: 141
R: 46 - C: 155
R: 46 - C: 165
R: 46 - C: 187
R: 46 - C: 205
R: 46 - C: 211
R: 46 - C: 238
R: 46 - C: 243
R: 46 - C: 276
R: 46 - C: 297
R: 46 - C: 302
R: 46 - C: 310
R: 46 - C: 316
R: 46 - C: 324
R: 46 - C: 335
R: 46 - C: 353
R: 46 - C: 363
R: 46 - C: 372
R: 46 - C: 382
R: 46 - C: 392
R: 46 - C: 401
R: 46 - C: 409
R: 46 - C: 413
R: 46 - C: 428
R: 46 - C: 431
R: 46 - C: 437
R: 46 - C: 469
R: 46 - C: 507
R: 48 - C: 21
R: 48 - C: 26
R: 48 - C: 35
R: 48 - C: 39
R: 48 - C: 59
R: 48 - C: 70
R: 48 - C: 89
R: 48 - C: 103
R: 48 - C: 136
R: 48 - C: 153
R: 48 - C: 167
R: 48 - C: 172
R: 48 - C: 174
R: 48 - C: 186
R: 48 - C: 205
R: 48 - C: 229
R: 48 - C: 249
R: 48 - C: 254
R: 48 - C: 316
R: 48 - C: 321
R: 48 - C: 323
R: 48 - C: 334
R: 48 - C: 337
R: 50 - C: 10
R: 50 - C: 28
R: 50 - C: 31
R: 50 - C: 48
R: 50 - C: 78
R: 50 - C: 99
R: 50 - C: 124
R: 50 - C: 127
R: 50 - C: 145
R: 50 - C: 165
R: 50 - C: 178
R: 50 - C: 181
R: 50 - C: 191
R: 50 - C: 213
R: 50 - C: 236
R: 50 - C: 241
R: 50 - C: 267
R: 50 - C: 278
R: 50 - C: 294
R: 50 - C: 320
R: 50 - C: 325
R: 50 - C: 341
R: 50 - C: 347
R: 50 - C: 352
R: 50 - C: 374
R: 50 - C: 378
R: 50 - C: 393
R: 50 - C: 408
R: 50 - C: 423
R: 50 - C: 428
R: 50 - C: 449
R: 50 - C: 478
R: 50 - C: 501
R: 52 - C: 26
R: 52 - C: 29
R: 52 - C: 44
R: 52 - C: 48
R: 52 - C: 58
R: 52 - C: 77
R: 52 - C: 81
R: 52 - C: 84
R: 52 - C: 87
R: 52 - C: 141
R: 52 - C: 153
R: 52 - C: 168
R: 52 - C: 210
R: 52 - C: 213
R: 52 - C: 218
R: 52 - C: 225
R: 52 - C: 229
R: 52 - C: 237
R: 52 - C: 253
R: 52 - C: 258
R: 52 - C: 265
R: 52 - C: 273
R: 52 - C: 313
R: 52 - C: 326
R: 52 - C: 332
R: 52 - C: 346
R: 52 - C: 350
R: 52 - C: 354
R: 52 - C: 361
R: 52 - C: 369
R: 52 - C: 414
R: 52 - C: 419
R: 52 - C: 436
R: 52 - C: 438
R: 52 - C: 450
R: 52 - C: 470
R: 52 - C: 480
R: 52 - C: 497
R: 52 - C: 506
R: 52 - C: 519
R: 52 - C: 536
R: 52 - C: 541
R: 52 - C: 554
R: 52 - C: 586
R: 52 - C: 613
R: 52 - C: 620
R: 52 - C: 630
R: 52 - C: 636
R: 52 - C: 661
R: 52 - C: 671
R: 52 - C: 678
R: 52 - C: 683
R: 52 - C: 685
R: 52 - C: 698
R: 54 - C: 4
R: 54 - C: 35
R: 54 - C: 39
R: 54 - C: 45
R: 54 - C: 56
R: 54 - C: 66
R: 54 - C: 91
R: 54 - C: 101
R: 54 - C: 117
R: 54 - C: 144
R: 54 - C: 146
R: 54 - C: 188
R: 54 - C: 190
R: 54 - C: 210
R: 54 - C: 217
R: 54 - C: 233
R: 54 - C: 241
R: 54 - C: 246
R: 54 - C: 285
R: 54 - C: 291
R: 54 - C: 296
R: 54 - C: 300
R: 54 - C: 303
R: 54 - C: 326
R: 54 - C: 342
R: 54 - C: 375
R: 54 - C: 393
R: 54 - C: 406
R: 54 - C: 413
R: 54 - C: 455
R: 54 - C: 478
R: 54 - C: 502
R: 54 - C: 529
R: 54 - C: 560
R: 54 - C: 566
R: 54 - C: 597
R: 54 - C: 603
R: 54 - C: 622
R: 56 - C: 1
